Processing...,Procesando...,
Production HMAC Key,Production HMAC Key,
Production Password,Production Password,
Production Public Key,Production Public Key,
Production credentials seem not valid.,Las credenciales de producción parecen no válidas.,
Public Key,Public Key,
Publishable Key,Clave publicable,
Razorpay Settings,Ajustes Razorpay,
Razorpay Signature Verification Failed,Error en la verificación de la firma de Razorpay,
Redirect To,redirigir a,
Redirect URL,Redireccionar URL,
Reload,Recargar,
Report an Issue,Report an Issue,
Running,En curso,
Scellius,Scellius,
Secret Key,Llave secreta,
Seems API Key or API Secret is wrong !!!,¡¡¡ Parece que la  clave de API o  clave secreta de API secreto está mal !!!,
Seems Publishable Key or Secret Key is wrong !!!,¡Parece que la clave publica o clave secreta es incorrecta!,
"Seems issue with server's razorpay config. Don't worry, in case of failure amount will get refunded to your account.","Parece ser un problema con la configuración del servidor de razorpay. No se preocupe, en caso de fallo el importe será reembolsado a su cuenta.",
Seems token you are using is invalid!,¡Parece que el token que estás usando no es válido!,
Server Error,Error del Servidor,
Session Defaults,Valores predeterminados de sesión,
Shop ID,Shop ID,
Signature,Firma,
Sogecommerce,Sogecommerce,
Some information is missing,Falta información,
Something went wrong,Algo salió mal,
Staging,Puesta en escena,
Static Assets URL,Static Assets URL,
Stripe Settings,Configuración de Stripe,
Success,Éxito,
System Manager,Administrador del sistema,
Systempay,Systempay,
Test HMAC Key,Test HMAC Key,
Test Password,Test Password,
Test Public Key,Test Public Key,
Test credentials seem not valid.,Las credenciales de prueba parecen no válidas.,
"There seems to be an issue with the server's braintree configuration. Don't worry, in case of failure, the amount will get refunded to your account.","Parece que hay un problema con la configuración de Braintree del servidor. No se preocupe, en caso de falla, la cantidad será reembolsada a su cuenta.",
Toggle Full Width,Cambiar a ancho completo,
Toggle Theme,Cambiar tema,
Use Sandbox,Utilizar Sandbox,
Used to select api url and static assets url.,Se utiliza para seleccionar la URL de API y la URL de activos estáticos.,
User Forum,User Forum,
View Website,Ver Sitio Web,
Website,Sitio Web,
You are not allowed to update this Web Form Document,Usted no está autorizado para modificar este formulario web,
You must login to submit this form,Debes iniciar sesión para enviar este formulario,
"Your payment had been issued by your bank, but apparently there was a processing error on our end.","Su pago fue emitido por su banco, pero aparentemente hubo un error de procesamiento por nuestra parte.",
Your payment has been successfully registered.,Su pago ha sido registrado exitosamente.,
Your payment has failed.,Su pago ha fallado.,
Your payment is cancelled.,Su pago se cancela.,
Your payment is in progress and not yet paid.,Su pago está en curso y aún no se ha pagado.,
Your payment was successfully accepted,Su pago fue aceptado con éxito,
john@doe.com,john@doe.com,
{0} Settings not found,{0} Ajustes no encontrados,
